"","h","Agg","nc_yield","mpa_yield","nc_prop_msy","mpa_prop_msy"
"178",0.18,2,27914.9032744205,24600.3942499759,0.932297749352998,0.988283572973342
"179",0.18,-1,33108.9523350717,27069.9860957715,0.998285447874508,0.986862257216329
"180",0.18,0.6,9.56058973081234,6602.87757906295,0.000566713234134509,0.454257072728886
"181",0.18,0.7,45.576292829825,7794.64589073435,0.00237316310829343,0.474281062185582
"182",0.18,0.8,200.209203660557,9070.76343442672,0.00951361549741725,0.505738600319656
"183",0.18,0.9,719.741814752299,10590.9966730238,0.031839272340391,0.553159464658836
"184",0.18,1,2020.1551550625,12414.2309152458,0.0844612228109646,0.615324970046568
"185",0.18,1.1,4348.21299287652,14454.4667880665,0.174078960899859,0.687420360728186
"186",0.18,1.2,7589.5305499194,16562.2112243306,0.293835638056158,0.76220616777938
"187",0.18,1.3,11501.8685152556,18502.9063510503,0.431440298879663,0.829159782696791
"188",0.01,0.5,5166.47701746474,4139.62933893709,0.373258047111905,0.339955831714041
"189",0.01,1.4,5086.64927144792,4064.85584642261,0.186330548892162,0.177802651446205
"190",0.01,1.5,5066.5828875676,4048.66110182051,0.18153641058782,0.173753506526434
"191",0.01,1.6,5048.44985591306,4034.04000606666,0.177797285606248,0.170132606674844
"192",0.01,1.7,5032.13307916276,4020.89247737964,0.174281922404834,0.167181503495449
"193",0.01,1.8,5017.493656,4009.102822,0.171552627680528,0.164498529836507
"194",0.01,1.9,5004.38664846497,3998.55174482274,0.168940533340622,0.162348028519548
"195",0.01,2,4992.66967556852,3989.12284503768,0.166744432392884,0.160256967358451
"196",0.01,-1,4897.61825450435,3912.71236628655,0.147670665723155,0.142641674952133
"197",0.01,0.6,5238.46177985611,4192.46962906433,0.310514905538157,0.288428637120635
"198",0.01,0.7,5248.95494388169,4198.54204820856,0.273313722035831,0.255468819259932
"199",0.01,0.8,5235.25456912184,4186.2541796299,0.248770776223482,0.233403764158705
"200",0.01,0.9,5211.93133640757,4166.75705376523,0.230560595255132,0.217626458810523
"201",0.01,1,5185.36142409103,4144.93367087058,0.216796202756012,0.205448183160604
"202",0.01,1.1,5158.50274965269,4123.04285948801,0.206518585894881,0.196082197380464
"203",0.01,1.2,5132.7457497669,4102.13854890198,0.198718960605384,0.188783687196636
